"subject","WMmaintenance","WMupdate","Attention","Gf","VerbalReasoning","CRT_1","CRT_2","CRT_3"
10010,-0.335285606166794,-0.807993122994146,-0.205572385581792,0.110979427158225,0.0961696842740448,0,0,1
10011,1.06235719939683,1.4389271822338,0.97694693232981,1.38475416074621,1.5251577985157,1,1,1
10012,0.790476414869004,0.164005959445433,0.451382793138021,0.966708575143434,1.48445456936017,1,1,1
10013,-0.208031613941712,-0.453179864043907,0.451382793138021,1.05912482876905,0.75889712046268,0,0,0
10014,0.407334090693343,1.23497904473709,0.451382793138021,0.488214145386436,0.921710037084828,0,1,1
10016,0.888207014068109,0.713783090346291,0.97694693232981,0.110979427158225,-0.266609040174698,0,0,1
10017,0.513056007280596,0.0833122285761984,0.451382793138021,1.02245735481712,1.34376843629133,0,0,0
10020,1.12810850361341,0.266828317109293,-1.38809170349339,1.91762286842329,1.44375134020463,1,0,1
10021,-0.183198962260495,0.885687335009693,0.97694693232981,0.967405770101145,0.69961744570492,0,0,1
10022,1.06075158169909,0.442493791855414,1.23972900507909,0.472579038129597,-0.0259400031925662,0,0,0
10025,1.08089629712154,0.747229063347164,0.7141648658873,0.708440372412169,-0.0259400031925662,1,1,1
10026,0.61739617382444,0.192032197857685,1.23972900507909,0.997978789657113,0.840303578773754,0,0,1
10027,1.09911938145802,0.833872268333015,0.451382793138021,0.833501342305071,0.740320674860457,1,1,1
10028,0.962488114172398,1.32779012268802,1.23972900507909,0.660857743845754,0.377541950411714,0,0,1
10030,0.535751575479477,0.253131405983668,-1.51948273671465,-0.322701265701387,-0.166626136261401,0,0,0
10031,-0.0222693141642412,0.683663520210045,0.845555899108555,-0.402231415577378,-0.225905811019161,0,0,0
10032,0.204413040691582,0.290921067959148,0.188600720388742,0.72200378295769,0.840303578773754,0,0,1
10033,-0.238943769726065,0.710655156980652,0.7141648658873,0.218333593082969,0.377541950411714,0,1,1
10034,0.357885642270271,0.902493194717593,0.97694693232981,-0.385221806566931,-0.407295173243533,0,0,1
10035,-0.0286578189406372,-0.214293895445161,-3.09617516059679,-0.151432168995677,-0.125922907105864,0,0,0
10036,0.429397632115768,0.288371764255693,0.319991759916766,0.57993320405434,1.34376843629133,0,0,1
10037,0.524354913427101,0.651033805858058,0.451382793138021,1.1897036938382,1.1030993993092,0,0,1
10038,-0.335819877037378,-0.437314198242039,0.7141648658873,0.0858036670405029,-0.166626136261401,0,1,1
10039,0.754564517066631,1.08881679999584,0.97694693232981,1.59543973491106,1.26236197798026,0,1,1
10041,0.571032849048388,0.504601726344516,-0.205572385581792,1.34533768328707,0.740320674860457,1,0,1
10043,0.856763392499158,0.150409646259123,0.319991759916766,0.62211857318251,0.69961744570492,0,0,1
10045,1.15763049409639,0.830626401121265,1.10833797185783,0.823263494486477,1.12167584491142,1,0,1
10046,0.654913689324553,0.271320743585472,0.582773826359276,0.714534826808125,0.518228083480548,0,0,1
10050,0.487908744754144,0.480504947410414,0.845555899108555,-0.338336372958226,0.336838721256177,0,0,0
10052,0.155283410742724,0.0190293296903639,-0.599745491552326,1.06257102723398,0.799600349618217,0,0,0
10053,0.985085926465408,0.910680590235587,0.451382793138021,1.05165587261948,0.980989711842589,1,0,1
10054,-0.249169926502422,-0.433890946873868,-1.12530963074412,-0.887517494688044,-0.91076003076111,0,0,0
10055,-0.812636890929826,-0.958273087045445,-2.17643791543446,-1.48360393818838,-1.37352165912315,0,0,0
10056,0.703826464334047,1.09058175629688,0.7141648658873,1.16245623700916,1.12167584491142,1,0,1
10058,0.808165228334898,1.29962042388927,1.23972900507909,0.612577920321627,0.29613549210064,0,0,0
10059,1.36939454828811,0.425227160282452,0.845555899108555,0.804302824502711,0.0147632259629707,1,0,1
10061,-0.903658764335328,0.260471950990412,0.582773826359276,-0.203037555246731,-0.185202581863624,0,1,0
10064,0.386023077623858,0.165854817864448,0.7141648658873,-0.186027946236283,-0.729370668536739,0,0,0
10065,0.654915091867546,2.00284147176593,1.10833797185783,0.168102708585524,0.458948408722788,1,0,1
10066,1.15571026555342,0.846154099927273,0.97694693232981,0.557526335605647,0.558931312636085,0,1,1
10068,-1.34978328246877,-0.891828886682106,0.0572096871674871,-1.26877497060089,-1.65489392526082,0,0,0
10070,-1.2847068910696,-1.22655417206605,-0.599745491552326,-0.870507885677596,-0.91076003076111,0,0,0
10071,-0.938720377878889,-0.136855486292306,-1.38809170349339,-1.0757962004042,-0.225905811019161,0,0,0
10074,-1.45283664978909,-0.680276472002152,0.845555899108555,-1.23210749664897,-1.69559715441636,0,0,0
10076,-0.529044833504387,0.0849532594994521,1.10833797185783,-0.351202588546036,-0.951463259916647,0,0,0
10078,-0.400406286149909,-0.352965743319135,-1.91365584268518,-0.856944475132076,-0.0445164487947898,0,0,0
10080,0.266326692908198,0.908056733474454,1.10833797185783,1.35820389887488,1.12167584491142,1,0,1
10081,0.0516985776378077,-0.139965136962609,0.97694693232981,0.447403278011874,0.618210987393846,0,0,0
10082,-1.70318535867909,-0.274798694324145,0.319991759916766,-0.297525505583664,-0.266609040174698,0,0,0
10083,-0.827241983291694,-0.0750263442781185,0.7141648658873,-0.412469263395972,0.69961744570492,0,0,1
10089,-0.363108430675147,0.257319511250079,-1.51948273671465,-0.211203706354006,-0.44799840239907,0,0,0
10090,-1.41383682325371,-0.810058166370878,-1.51948273671465,-0.799821193704777,-0.770073897692276,0,0,0
10092,0.890661513481667,-0.204354352340863,0.845555899108555,1.0992385011859,0.396118396013937,1,1,0
10096,-0.637320407954062,-0.533533885585201,-1.78226480946393,-1.61750836598445,-1.69559715441636,0,0,0
10097,-1.7235483315839,-0.875461263603484,-0.99391859752286,-1.1444111956657,-1.37352165912315,0,0,0
10099,-0.684216601057706,-0.430673219669172,-0.599745491552326,-1.36601192444504,-1.47350456303645,0,0,0
10100,-0.20334367768294,0.143557318309574,0.845555899108555,0.354309717590362,0.236855817342879,0,0,1
10101,0.888521624913343,1.05966448955642,-0.0741813460537678,0.886481230309732,1.30306520713579,0,1,1
10102,0.534270666987204,-0.467085490617027,-0.99391859752286,-0.276493138888579,0.0147632259629707,0,0,0
10106,1.13333211328576,0.459463996163289,0.97694693232981,1.22567397283241,1.12167584491142,1,1,1
10108,-2.52499655701363,-1.86277585051934,-1.51948273671465,-1.44279307081382,-1.61419069610528,0,0,0
10109,-0.616640019118039,-1.2493720306936,-0.99391859752286,-1.43199855193733,-0.770073897692276,0,0,0
10110,-1.97730098259513,-0.90024743429183,-2.570611021405,-1.57130023917165,-1.51420779219199,0,0,0
10111,-1.4129865389949,-1.46224202605019,-2.04504687590644,-1.18452486808255,-1.55491102134752,0,0,0
10112,0.192265252829259,-1.00035200604947,0.319991759916766,-0.674760223811875,-1.27353875520985,0,0,0
10114,-1.10050311531994,-1.12688569636946,-0.205572385581792,-0.931653924789532,-1.19213229689878,0,0,0
10117,-0.267930086795471,-0.866896735194872,0.97694693232981,-0.406951368219727,-0.0852196779503268,0,1,0
10119,0.692431204824665,0.784536505032655,0.188600720388742,0.707743177454458,1.12167584491142,1,0,1
10120,0.79016180402377,0.39714142015816,0.582773826359276,0.911656990427455,0.477524854325011,0,1,1
10121,-1.02931134649165,-1.05374817833553,0.451382793138021,-0.588438424582216,-0.91076003076111,0,0,0
10123,-1.65651022814379,-0.203072719423731,-1.25670066396537,-0.892914754126289,-0.970039705518871,0,0,0
10124,0.51305740982359,0.689745807082314,0.7141648658873,-0.16362107778759,-0.307312269330235,0,0,0
10129,0.303433244200199,-0.154162420720823,0.451382793138021,0.465110081980033,0.196152588187342,0,0,1
10130,-1.33848577886526,-0.899999546202119,-1.78226480946393,-0.832465909972064,-0.810777126847813,0,0,0
10133,-0.408182151141688,-1.80177740980629,-0.336963418803047,-1.53865552290436,-1.47350456303645,0,0,0
10134,0.382184023080904,0.102246923259829,0.451382793138021,0.133386295606918,-0.0259400031925662,0,0,0
10137,-0.751572120429029,-0.330693262222556,0.582773826359276,-0.394762459427814,-0.0852196779503268,1,0,1
10139,0.675057002204005,0.973675465517201,0.451382793138021,1.18556030041556,1.12167584491142,0,0,0
10140,-0.609936903496409,0.325242943843826,0.0572096871674871,0.267987918360703,0.599634541791622,0,0,1
10142,-0.354361779848071,-0.0931398098438422,0.97694693232981,-0.319932374032357,-1.05144616382995,0,0,0
10143,-0.195033541820577,0.413857071908566,0.451382793138021,0.157187553971033,0.0961696842740448,0,0,1
10145,-0.773951675239682,-0.190371467499586,0.97694693232981,-0.516377230855789,-0.810777126847813,0,0,0
